frame,id,bot_center_x,bot_center_y,in_shadow
3,1,658,896,False
3,2,1139,828,False
3,3,1551,641,True
3,4,793,927,True
3,6,1319,629,False
3,7,1478,472,False
4,1,660,894,False
4,2,1134,831,False
4,3,1553,639,True
4,4,797,925,True
4,6,1322,628,False
4,7,1478,471,False
5,1,660,894,False
5,2,1133,832,False
5,3,1553,639,True
5,4,798,925,True
5,6,1323,628,False
5,7,1478,471,False
6,1,660,894,False
6,2,1133,832,False
6,3,1553,639,True
6,4,798,925,True
6,6,1323,628,False
6,7,1478,471,False
7,1,660,894,False
7,2,1133,832,False
7,3,1553,639,True
7,4,798,925,True
7,6,1323,628,False
7,7,1478,471,False
8,1,660,894,False
8,2,1133,832,False
8,3,1552,639,True
8,4,797,925,True
8,6,1322,628,False
8,7,1478,471,False
9,1,680,890,False
9,2,1131,839,False
9,3,1554,638,True
9,4,818,909,False
9,6,1327,625,False
9,7,1478,471,False
10,1,687,889,False
10,2,1130,841,False
10,3,1554,638,True
10,4,825,904,True
10,6,1328,624,False
11,1,689,888,False
11,2,1129,841,False
11,3,1554,638,True
11,4,828,902,True
11,6,1328,623,False
12,1,690,888,False
12,2,1130,842,False
12,3,1554,638,True
12,4,828,901,True
12,6,1328,623,False
13,1,690,888,False
13,2,1129,842,False
13,3,1554,638,True
13,4,828,901,True
13,6,1328,623,False
14,1,690,888,False
14,2,1129,842,False
14,3,1554,638,True
14,4,828,901,True
14,6,1328,623,False
15,1,704,887,False
15,2,1122,843,False
15,3,1556,634,True
15,4,844,901,False
15,6,1333,622,False
16,1,710,887,False
16,2,1119,843,False
16,3,1556,633,True
16,4,850,900,True
16,6,1335,622,False
17,1,711,887,False
17,2,1118,843,False
17,3,1556,632,True
17,4,852,900,True
17,6,1336,622,False
17,8,1379,531,False
18,1,712,887,False
18,2,1118,843,False
18,3,1556,632,True
18,4,853,900,True
18,6,1337,621,False
18,8,1379,531,False
19,1,712,887,False
19,2,1118,843,False
19,3,1556,632,True
19,4,852,900,True
19,6,1336,622,False
19,8,1378,531,False
20,1,712,887,False
20,2,1118,843,False
20,3,1556,632,True
20,4,852,900,True
20,6,1336,622,False
20,8,1378,531,False
21,1,728,880,False
21,2,1109,864,True
21,3,1557,630,True
21,4,864,893,False
21,6,1334,622,False
21,8,1377,526,False
22,1,734,877,False
22,2,1106,872,True
22,3,1558,629,True
22,4,868,890,False
22,6,1334,621,False
22,8,1376,525,False
23,1,737,876,False
23,2,1105,875,True
23,3,1558,628,True
23,4,869,889,False
23,6,1333,621,False
23,8,1376,524,False
24,1,737,876,False
24,2,1105,875,True
24,3,1558,628,True
24,4,869,889,False
24,6,1333,621,False
24,8,1376,524,False
25,1,737,876,False
25,2,1105,875,True
25,3,1558,628,True
25,4,869,889,False
25,6,1333,621,False
25,8,1376,524,False
26,1,737,876,False
26,2,1105,875,True
26,3,1558,628,True
26,4,870,889,False
26,6,1333,621,False
26,8,1376,524,False
27,1,754,865,False
27,2,1098,876,True
27,3,1559,627,True
27,4,886,880,False
27,6,1343,621,False
27,8,1376,524,False
28,1,761,861,False
28,2,1096,876,True
28,3,1560,626,True
28,4,892,876,False
28,6,1347,620,False
29,1,763,860,False
29,2,1095,877,True
29,3,1560,626,True
29,4,895,875,False
29,6,1349,620,False
30,1,763,860,False
30,2,1094,876,True
30,3,1560,626,True
30,4,895,875,False
30,6,1349,620,False
31,1,763,860,False
31,2,1094,876,True
31,3,1560,626,True
31,4,896,875,False
31,6,1349,620,False
32,1,763,860,False
32,2,1094,875,True
32,3,1560,626,True
32,4,895,875,False
32,6,1349,620,False
33,1,775,860,False
33,2,1087,875,True
33,3,1563,622,True
33,4,902,875,False
33,6,1353,617,False
34,1,780,860,False
34,2,1085,875,True
34,3,1564,621,True
34,4,904,875,False
34,6,1355,616,False
35,1,782,860,False
35,2,1084,875,True
35,3,1565,620,True
35,4,905,875,False
35,6,1356,615,False
35,9,1362,615,False
36,1,782,860,False
36,2,1083,875,True
36,3,1565,620,True
36,4,905,875,False
36,6,1356,615,False
36,9,1362,615,False
37,1,782,860,False
37,2,1084,875,True
37,3,1565,620,True
37,4,905,875,False
37,6,1356,615,False
37,9,1362,615,False
38,1,782,860,False
38,2,1084,875,True
38,3,1565,620,True
38,4,905,875,False
38,6,1356,615,False
38,9,1362,615,False
39,1,802,852,False
39,2,1069,891,True
39,3,1567,620,True
39,4,920,859,False
39,6,1360,616,False
39,9,1362,615,False
40,1,810,848,False
40,2,1064,897,True
40,3,1567,620,True
40,4,926,852,False
40,6,1362,616,False
41,1,813,846,False
41,2,1062,900,True
41,3,1567,620,True
41,4,928,850,False
41,6,1362,616,False
42,1,814,846,False
42,2,1061,901,True
42,3,1567,620,True
42,4,929,849,False
42,6,1362,616,False
43,1,814,846,False
43,2,1061,901,True
43,3,1567,620,True
43,4,929,849,False
43,6,1362,616,False
44,1,814,846,False
44,2,1061,901,True
44,3,1567,620,True
44,4,929,849,False
44,6,1362,616,False
45,1,818,844,False
45,2,1054,909,True
45,3,1569,615,True
45,4,942,849,False
45,6,1363,616,False
45,7,1552,499,False
45,9,1372,612,False
46,1,820,844,False
46,2,1052,912,True
46,3,1569,613,True
46,4,947,848,False
46,7,1554,500,False
46,9,1373,611,False
47,1,820,844,False
47,2,1051,913,True
47,3,1569,612,True
47,4,948,848,False
47,7,1554,501,False
47,9,1373,611,False
48,1,820,844,False
48,2,1051,914,True
48,3,1569,612,True
48,4,949,849,False
48,7,1554,501,False
48,9,1373,611,False
49,1,820,844,False
49,2,1051,914,True
49,3,1569,612,True
49,4,949,849,False
49,7,1554,501,False
49,9,1373,611,False
50,1,820,844,False
50,2,1051,914,True
50,3,1569,612,True
50,4,949,849,False
50,7,1554,501,False
50,9,1373,611,False
51,1,839,837,False
51,2,1042,922,True
51,3,1569,612,True
51,4,955,845,False
51,7,1555,500,False
51,9,1371,611,False
52,1,846,834,False
52,2,1039,926,True
52,3,1569,612,True
52,4,958,844,False
52,7,1555,500,False
52,9,1371,611,False
53,1,848,833,False
53,2,1038,927,True
53,3,1569,612,True
53,4,958,843,False
53,7,1555,500,False
53,9,1371,610,False
54,1,849,833,False
54,2,1038,927,True
54,3,1569,612,True
54,4,958,843,False
54,7,1555,499,False
54,9,1371,610,False
55,1,849,833,False
55,2,1038,928,True
55,3,1569,612,True
55,4,959,843,False
55,7,1555,499,False
55,9,1370,610,False
56,1,849,834,False
56,2,1038,928,True
56,3,1569,612,True
56,4,958,843,False
56,7,1555,499,False
56,9,1370,610,False
57,1,869,825,False
57,2,1028,939,True
57,3,1570,610,True
57,4,976,834,False
57,6,1361,540,False
57,7,1557,496,False
57,8,1434,490,False
57,9,1372,608,False
